Anyone can do that.	任何人都可以做到。
The friend who I thought would pass the exam failed it.	那个我认为会通过考试的朋友失败了。
They are very big apples.	他們是非常大的蘋果。
How dare you!	你敢！
He must have taken the wrong train.	他一定是搭錯火車了。
I understand how to solve the problem.	我明白怎么解决问题。
How many children do you have?	你有幾個小孩?
He no longer lives here.	他不再住在這裡了。
He is the same age as me.	他和我同岁。
Industry as we know it today didn't exist in those days.	我们今天所认识的工业在那个时代不存在。
That boy used to drop in on me.	那男孩儿来访过我家。
I think you'll have very little difficulty in getting a driver's license.	我想你要拿到驾照根本不难。
Run.	你用跑的。
He told me to do it, so I did it.	他让我做，我就做了。
That is not my line.	这不是我拿手的。
She lives in a large house.	她住在一棟大房子裡。
A doctor told me that eating eggs was bad for me.	一位医生告诉过我，吃鸡蛋对我的健康有害。
She asked him to open the window.	她請他打開窗口。
She has a flower in her hand.	她手上有一朵花。
I have just finished my homework.	我剛剛完成我的作業。
You look pale today.	你今天看上去很苍白。
I'm counting how many people there are.	我正在算有多少人在那裡。
I felt that my honor was at stake.	我覺得我的名譽受到了威脅。
Money isn't the only thing that matters.	不只是钱关系重大。
Tom just never should've done that.	汤姆就不该做那事。
I don't want there to be any misunderstanding.	我不想有任何误会。
He may not be happy.	他可能不高兴。
The hunter shot the fox dead.	獵人射殺了狐狸。
He goes to school to study every day.	他每天去学校学习。
I spent last Sunday reading a novel.	我上週日花時間看了一本小說。
Mary closed the door quietly.	瑪麗悄悄地關上了門。
You smoke far too much. You should cut back.	你吸太多煙了。你應該少抽一點。
I wish I could have spoken Spanish.	要是我會說西班牙語就好了。
There's nothing I wouldn't do for Tom.	没有我不会给汤姆做的事。
Tom was making French fries.	汤姆想做炸薯条。
I study for 3 hours every day.	我每天讀書三個小時。
He was home alone at the time.	他当时一个人在家。
I'm tired of listening to his boasts.	我厭倦了聽他吹噓。
Because of heavy snow, the plane from Beijing arrived 20 minutes late.	由於下大雪，從北京来的班機延遲二十分鐘。
You may use my new car.	你可以使用我的新車。
Where is the vodka?	伏特加在哪里？
If a person has not had a chance to acquire his target language by the time he's an adult, he's unlikely to be able to reach native speaker level in that language.	如果一個人在成人前沒有機會習得目標語言，他對該語言的認識達到母語者程度的機會是相當小的。
He hurried so he wouldn't miss the train.	汤姆加紧步伐以不错过火车。
Don't go out after dark.	天黑以後不要出門。
They arrived here safely yesterday.	他們昨天平安抵達這裡。
None of those books are useful.	這些書裡沒有一本是有用的。
I just said something very stupid.	我刚说了很蠢的话。
If I were you, I'd want to know what Tom is doing right now.	如果我是你，我不会想去知道Tom现在正在做什么。
I often went fishing with him.	我經常和他去釣魚。
I hope we find Tom.	我希望我们能找到汤姆。
You used to be able to see the church from here.	你以前可以從這裡看到教堂。
Can we do it?	我们能做到吗？
I've never told anyone about this.	我没跟任何人说过这个。
One thousand dollars will cover all the expenses for the party.	1000美元将负担聚会的全部费用。
Fire is always dangerous.	火總是危險的。
The meeting was called off.	会议取消了。
They welcomed me warmly, so I felt at home.	他们这么热情的欢迎我，让我感觉家人一样。
Tom pulled Mary out of the water.	Tom 把Mary拉出水
I have class tomorrow.	我明天有课。
Tom fell asleep in class.	汤姆在课堂上睡着了。
Tom can't get his car started.	汤姆没法发动他的车。
This is a very beautiful flower.	這是一朵非常美麗的花。
Best wishes from all of us.	我们所有人都祝福你。
My aunt gave me a camera.	我的阿姨給了我一台攝影機。
I don't understand music.	我不懂音乐。
I wish I was young again.	我希望我再年輕一次。
I'm not guilty of anything.	我没有对任何事感到有罪。
A bird can fly.	鸟会飞。
His office is near the train station.	他的辦公室離車站很近。
A swarm of hornets attacked the children.	一窩黃蜂襲擊了孩子們。
She stirred her coffee with a teaspoon.	她用茶匙搅她的咖啡。
When are you going to quit smoking?	你何時要戒煙?
He ran into the room.	他跑进房间内。
What are we having for dinner?	我们晚饭吃什么？
You'll get lost.	你会迷路的。
My cell phone has a built-in digital camera.	我的手機有內建的數位相機。
Hold your horses, young man.	別那麼猴急，年輕人。
Six divided by two equals three.	六除以二得三。
I am able to drive a car.	我會開車。
I could answer all the questions.	我可以回答所有问题。
Can you do bookkeeping?	你會記帳嗎?
They're all the same size.	他們都是一樣的大小。
What do you two do for fun?	你们两个做了什么有趣的事情呢？
No one lives in this building.	没有人住在这栋楼里。
I'm sick and tired of hamburgers.	我對漢堡感到厭煩了。
They married when they were young.	他們在還很年輕的時候就結婚了。
I would have liked to come with you, but I didn't have time.	我想和你一起去，但是我没有时间。
Academic fraud is more common than you might think.	学术造假比你想象的普遍。
That's exactly what I wanted to see happen.	这刚好是我想看到它发生的。
I'm afraid there isn't any coffee left.	恐怕已經沒有咖啡了。
While I was reading in bed last night, I fell asleep with the light on.	我昨晚在床上看书的时候点着灯就睡了。
He'll be back home soon.	他很快就會回家。
We sometimes swim in the lake.	我們偶爾在湖裡游泳。
Charles Lindbergh made the first solo flight across the Atlantic Ocean in 1927.	Charles Lindbergh於1927年成功完成了第一次獨自飛越大西洋。
His shirt was stained with sauce.	他的衬衫被酱汁弄脏了。
I am just going for a walk.	我只是去散散步。
We found the front door locked.	我們發現前門被鎖上了。
He is so heartless.	他是这么的无情。
I'm playing a TV game.	我在玩電視遊樂器。
Let's go now.	我们现在去吧。
Control is everything.	控制就是一切。
Swimming is easy.	游泳很容易。
He held a package under his arm.	他挾著一個包裹。
She looks pretty in that dress.	她穿上那件衣服看起來很漂亮。
Why are you here?	你為什麼在這？
She asked us to leave her alone.	她要求我們別吵她。
Thanks very much for having me to dinner the other night.	谢谢那天晚上请我吃了饭。
After they argued, they didn't speak to each other for a week.	他们争吵后，一周都没有再说话。
Tom slipped out of the classroom.	湯姆溜出了教室。
You ought to ask for your teacher's permission.	你應該請求你的老師允許。
The clock has stopped.	時鐘已經停止了。
When did your friend leave for America?	你朋友是什么时候出发去美国的？
They grow flowers in the garden.	他們在花園裡種花。
She told me an interesting story.	她给我讲了一个有趣的故事。
I received her letter yesterday.	昨天我收到了她的信。
I slept on the bus.	我在公交车上睡觉了。
Stand aside.	一边站着。
By the year 2020, the population of our city will have doubled.	在2020年以前，我們的城市的人口將增加一倍。
Tom has been really busy recently.	汤姆最近相当忙。
The swimmers were numb with cold.	游泳選手們凍僵了。
Many moons orbit around Saturn.	許多衛星繞著土星運行。
I spent the whole day in reading the novel.	我一整天都在看这本小说。
Volcanic ash disrupted air travel.	火山灰阻礙航運。
I'm surprised that you don't know about their marriage.	我很惊讶，你竟然不知道他们结婚。
Mom, I'm hungry.	妈妈，我肚子饿了。
He earned his living as a teacher.	他以當老師為生。
She loves chocolate, too.	她也喜欢巧克力。
It has been cold since yesterday.	從昨天開始變冷了​​。
She must have been sick.	她一定是生病了。
I'm not very good at swimming.	我不是很擅長游泳。
Switch on the light. I can't see anything.	把灯打开。我什么都看不见了。
Do you drink coffee?	你喝咖啡嗎?
I promise I'll do that tomorrow.	我保證明天就做
Some people never grow up.	有些人永远也长不大。
I will write to you soon.	我會盡快寫信給你。
I'm starving!	我饿死了！
This place has a mysterious atmosphere.	这个地方有一种神秘的气氛。
It takes 165 years for Neptune to orbit around the sun.	海王星繞行太陽一周要花一百六十五年。
The curtain fell.	谢幕了。
I expect you to be punctual.	我期待你能準時。
While reading a book, I fell asleep.	我看书的时候睡着了。
You shouldn't have eaten so much ice cream.	你不應該吃這麼多冰淇淋。
You have a point there.	喔！你提到一個重點了。
Quit gambling.	戒掉赌博吧。
Cows provide us with milk.	奶牛为我们提供牛奶。
She enjoyed herself at the concert.	她在音樂會上玩得很開心。
She gave me a strange look.	她奇怪地看了我一眼。
I am an optimist by nature.	我天生是一個樂觀主義者。
He erased his speech from the tape.	他把他的那段话从磁带里删除了。
Do you have a larger size?	你有比較大的尺寸嗎？
Do they love each other?	他們彼此相愛嗎?
Halley's Comet will come back in 2061.	哈雷彗星將在2061回來。
I'm not living with him anymore.	我不再跟他一起生活了。
My aunt brought me some flowers.	我阿姨給我帶來了一些花。
I don't have a computer at home.	我家没有电脑。
I returned the book to the library.	我把書還給圖書館。
Who can tell the difference?	谁能说清不同点？
I'll eat here.	我會在這裡吃飯。
Tom needed treatment.	汤姆需要接受治疗。
She must still be in her twenties.	她一定還只是二十幾歲。
I wish Tom were my younger brother.	但願湯姆是我的弟弟。
Do you eat out often?	你常常外食嗎？
I can do it alone.	我可以獨自做。
He is very stingy with his money.	他非常吝啬。
Give me a bottle of wine.	給我一瓶葡萄酒。
I really want to speak English fluently.	我很想流利地说英语。
The Oscar ceremonies are Hollywood's biggest extravaganza.	奥斯卡颁奖典礼，是好莱坞最盛大的活动。
Do you read French every day?	你每天读法语吗？
How much is the rent per month?	一個月的租金多少？
The clock stopped.	鐘停了。
Who is to blame for the accident?	誰該為這次事故負責？
I will give you a bike for your birthday.	你生日的时候，我送你一辆自行车。
Deal with them.	解决他们。
She squeezed the juice from many oranges.	她用了許多柳橙來榨汁。
I've never seen that guy before.	我從沒看過那個人。
It's obvious why his stomach hurts.	他為什麼會胃痛的原因很明顯。
I wish I had a better memory.	但願我有好一點的記憶力。
I don't feel like studying English today.	我今天不想学习英语。
Sorry to have kept you waiting.	對不起讓你一直等。
I don't think that she will come.	我不認為她會來。
No student went to the party.	没有学生去参加派对。
The roof was damaged by the storm.	屋頂被暴風雨損壞了。
Today our artificial satellites are revolving around the earth.	今天我们的人造卫星正在环绕地球运转。
He teaches English to his friends.	他對他的朋友教英語。
Have you turned in your report?	你交報告了嗎？
He wants a book to read.	他想找本書來讀。
Sorry it took me so long to write to you.	對不起, 我過了這麼長的時間才回你的信。
They forgot to lock the door.	他们忘了锁门。
Have you answered that letter yet?	你回信了嗎？
Tom told me he had a right to see it.	汤姆告诉我他有权看它。
She really does like animals.	她确实喜欢动物。
What's the climate there like?	那里的气候怎么样?
I like children. That's why I became a teacher.	我喜欢孩子。这就是为什么我成为了教师。
Here are some pictures.	這裡有一些圖片。
May I have a glass of milk, please?	请问能给我一杯牛奶吗？
I'll be at home in the morning.	我早上會在家。
Will you show me your passport, please?	能否请您给我看一下您的护照？
My father died of lung cancer.	我的父親死於肺癌。
How did you enjoy the concert?	你有多喜歡這場音樂會？
This is exactly what I wanted.	我想要的就是这个。
That's my problem.	這是我的問題。
Please let me go.	請允許我去。
I've missed another chance.	我又失去了一次机会。
I have a cough and a little fever.	我咳嗽，还有点发烧。
I managed to get there in time.	我設法及時到那裡。
The lock is broken.	锁坏了。
Half of these apples are rotten.	這些蘋果的其中一半都爛了。
I changed trains at Tokyo Station.	我在東京站換火車。
She's in the garden planting roses.	她在花园里种玫瑰。
Tom can't tell Mary his real feelings.	汤姆不能把他的真实感受告诉玛丽。
The guests are in the kitchen.	客人們在廚房裏。
Would you like some of those pictures?	你想要那些照片中的一些嗎?
I appreciate your cooperation.	我感謝您的合作。
I like swimming, but I don't like to swim here.	我喜欢游泳，但我不想在这里游。
I don't mind if it's a little cold.	稍微冷一点没关系。
The weatherman says there is a storm on the way.	气象学家说会有暴风雨。
How about a drink after the game?	比賽結束後喝一杯怎麼樣？
After you have read it, give the book back to me.	在你讀完後，把書還給我。
I have a new car.	我有辆新车。
I graduated from high school last year.	去年我從高中畢業了。
Keep going straight.	繼續直行。
Smoking is prohibited.	禁止吸烟。
Get them before they get us.	先下手为强，后下手遭殃。
Tom went into the kitchen and poured himself a cup of coffee.	汤姆进了厨房，给自己倒了杯咖啡。
I think that's awful.	我看那糟透了。
Orange juice, please.	柳橙汁，麻煩你。
I continued singing.	我繼續唱歌。
They rescued the boy from drowning.	他們救了這個落水的男孩。
Tom is on the go day and night.	汤姆日夜兼程。
You must be careful of the traffic when you cross the street.	横穿马路时你要留心。
He plays golf two or three times a month.	他一个月玩两到三次高尔夫。
Tom slept until noon.	汤姆睡到中午。
He doesn't know how to swim.	他不会游泳。
He'll do whatever you ask him to.	他會做任何你要求他做的事。
Whether you like it or not doesn't matter.	你喜不喜欢没关系。
You have no right to interfere in other people's affairs.	你沒有干涉他人事務的權力。
I'll alert Tom.	我会警告汤姆。
No problem.	没关系。
You may take either the big box or the small one.	你可以拿大的盒子或是小的盒子。
Do you know where Tom is waiting for us?	你知道汤姆在哪里等我们吗？
I'm doing my homework.	我正在做我的作业。
Nature is full of mysteries.	自然充满了神秘。
You're barking up the wrong tree.	你白費力氣了。
I'm not letting Tom do this by himself.	我不会让汤姆独自去做。
She would often go to the theater when she was in London.	她在伦敦的时候，曾经常去剧院。
We'll need a head hunting agency to find the right man for this executive position.	我們需要人力仲介公司幫我們找到合適的人來擔任這個管理職位。
Can anyone believe you?	誰會相信你？
He is making great progress in English.	他的英語有很大的進步。
My father has been engaged in foreign trade for many years.	我父亲经营外贸多年。
She has lost weight.	她的体重减轻了。
I'm tired of your complaints.	我已經厭倦了你的投訴。
I don't want to have an operation.	我不想接受手術。
I like this color as well.	我也喜歡這顏色。
I need to try.	我需要尝试。
He left his umbrella on the bus.	他把雨伞忘在公交车上了。
My aunt made me a new skirt.	我阿姨做了一條新裙子給我。
She used to go to the movies on Sundays.	她從前會在星期天去看電影。
Everyone knew Tom was the one who did it.	大家都知道是汤姆做的
You might not like this beer at first. It's an acquired taste.	剛開始的時候你可能不會喜歡這個啤酒。這是需要多次品嚐去習慣它的口味。
I am interested in music.	我對音樂有興趣。
I don't get what you mean.	我不明白你的意思。
Where in Turkey do you live?	你在土耳其哪儿生活?
She showed us a beautiful hat.	她給我們看了一頂漂亮的帽子。
He didn't come to the last meeting.	他最後一場會議沒來。
It can be dangerous.	它有危险。
I have no intention of asking him.	我不想問他。
I agreed to the proposal.	我同意這項建議。
It is like looking for a needle in a haystack.	这好比大海捞针。
Summer has ended.	夏天已經結束。
It's a very sad story.	这是一个非常悲伤的故事。
We're out of stock now.	我们现在缺乏库存。
Turn off the television. I can't concentrate.	把電視關掉。我無法專心。
We need some more coffee.	我們需要多一點咖啡。
Most boys like baseball.	大部分男生喜欢棒球。
You should have told me a long time ago.	很久以前你就應該告訴我的。
Swimming is good for your health.	游泳對你的健康很好。
This is Uncle Tom's farm.	這是湯姆叔叔的農場。
"Pass me the salt, please." "Here you are."	“请把盐递给我。”“拿着。”
You are a student.	你是學生。
May I ask how old you are?	请问您老人家高寿？
I've finished watering the flowers.	我已經澆完花了。
Tom wanted Mary to say that she loved him.	汤姆想让玛丽说爱他。
Please answer this question for me.	請回答我這個問題。
Does she know your telephone number?	她知道您的電話號碼嗎?
The picture looks better at a distance.	这幅画远看更好。
I invited them to the party.	我邀請了他們參加派對。
He returned from China.	他从中国回来了。
The accident seemed to have something to do with the heavy snow.	事故似乎和厚厚的积雪有关。
Do we have anything I can snack on?	我們有任何我可以當零食吃的東西嗎？
I think his opinion is very important.	我認為他的意見非常重要。
I am looking forward to Christmas.	我期待聖誕節的到來。
Do you like to cook Japanese foods?	你喜歡煮日本料理嗎?
Why should it be different?	为什么它应该要变得不一样？
Computers are certainly playing an important role in our life, whether we like it or not.	无论我们是否喜欢电脑，它在我们的生活中始终起着重要的作用。
Tom was all worn out.	湯姆完全筋疲力盡了。
All the boys in class worked hard.	課堂上所有的男生都很用功。
Studying abroad is very common now.	現在出國留學是很常見的了。
Tom burst into tears.	汤姆泪流满面。
Why do I have to do that?	我为什么一定要那么做？
That bicycle is too small for you.	那輛腳踏車對你來說太小了。
Do you know how to recover a deleted file?	你知道怎么恢复已删除的文件吗？
Keep the dog out.	别让狗进来。
I don't like novels without heroes.	我不喜欢没有英雄的小说。
Is there a zoo in the park?	公园里有动物园吗？
Tom suggested that I change the lock on my door.	汤姆建议我换我的门锁。
I am very, very sorry.	我非常，非常抱歉。
The best hairdressers are gay.	最好的理发师是同性恋。
I love elderberry juice.	我愛接骨木果汁。
She studied English in the morning.	她上午學習英語。
The death penalty had been done away with in many states in the USA.	死刑在美国的很多州都被废除了。
I understand perfectly.	我完全明白。
What do you think of him?	你覺得他怎麼樣?
Tom is an extraordinary man.	汤姆是个不寻常的人。
The phone is ringing.	電話正在響。
Could you check the tire pressure?	你能檢查一下這個輪胎的氣壓嗎？
The charge for a front row seats is 5 dollars.	第一排的座位5美元。
Obey your teachers.	要听老师的话。
No words can express her deep sorrow.	她的悲伤无法言喻。
His house was small and old.	他的房子又小又旧。
You must get up a little earlier.	你该早一点起床。
Please show your ticket.	请出示您的票子。
He took a week off.	他休了一周的假。
Could you please not smoke in this room?	请问你能不在房间里吸烟吗？
I'm sorry for the late response.	我很抱歉回复晚了。
My brother and I are in the same class.	我的兄弟和我在一个班级。
There are about forty students in her class.	她班上大约有40个学生。
I really want to know what's going on.	我真想知道发生了什么。
The shell of an egg is easily broken.	蛋壳容易破碎。
You've got a lot of guts.	你膽子很大。
It's said that she loves him.	據說她愛他。
I didn't like it.	我没有喜欢过。
What do you have the first period?	你第一節課上什麼?
He is now either in Rome or in Paris.	他不是在羅馬，就是在巴黎。
He is a doctor by profession.	他的职业是医生。
I'd like to be a guitarist.	我想要成为吉他手。
Starting tomorrow, it's going to snow for a week.	雪从明天开始下，一直持续一个星期。
My bicycle has a flat tire.	我的腳踏車輪胎沒氣了。
Of course she can speak English.	她當然會講英語。
Take things a little more seriously.	對事情比較正經嚴肅。
Could I have a pillow and blanket?	給我一個枕頭和毛毯好嗎？
Get out of here.	離開這裡。
Stir the soup.	搅一下汤。
We're almost broke.	我們快破產了。
How many apples do you want?	你要多少個蘋果？
There's a telephone in my room.	我的房間裡有一支電話。
What prevented you from coming earlier?	為什麼你不能早點來?
I don't need your help.	我不需要你的幫助。
I'm at the airport now.	我现在在机场。
Haven't we met before?	我们以前没见过吗？
That's my final answer.	这是我的最终回答。
I'm tired of her complaints.	我厭倦了她的抱怨。
You must keep quiet for a few days.	你该安静几天。
He asked her where her mother was.	他問她她的母親在哪裡。
This law is applicable to all cases.	此法適用於所有情況。
I want to go with you.	我想和你一起去。
It's healthy to breathe deeply.	深呼吸有益健康。
When she saw that they had no schools, she started one.	当她发现他们还没有学校，她就办了一个。
I'm sure you'll love what we have on the menu tonight.	我肯定你会喜欢我们今晚的菜肴。
Have you taken your medicine yet?	您已经吃过药了吗？
The couple is walking hand in hand.	這對夫妻手牽手走路。
There was a car accident yesterday.	昨天發生了一場車禍。
Life is like a box of chocolates.	生活就像一盒巧克力。
If she was displeased, she never showed it.	如果她不高興, 她從來不表現出來。
I saw him running.	我看見了他跑步。
Stick a stamp on the envelope.	把郵票貼在信封上。
Do you want to know why I quit?	您想知道为什么我要离开吗？
Who was in charge of today's party?	誰負責今天的派對？
Is there an app for that?	有它的应用吗？
If a sick person folds one thousand paper cranes, her wish will come true.	如果一個病人折一千隻紙鶴, 她的願望就會成真。
Never forget to put out the fire.	永遠不要忘記關火。
Do you plan to stay long?	你打算長時間停留嗎？
I haven't seen Tom since 1988.	我從1988年起就沒有看過湯姆了。
We made it out of there.	我們從那裡逃了出來。
My father works at the factory.	我父亲在工厂工作。
I usually go to bed before ten.	我通常在十點前上床睡覺。
What is my room number?	我的房间号是多少？
The man got away from the city.	這名男子逃離了這個城市。
I don't blame you for doing that.	我不怪你那樣做。
I missed you.	我想你。
I'll give you anything that you want.	我會給你任何你想要的東西。
I know the girl playing tennis.	我認識這個打網球的女孩。
Thank you for inviting me to dinner.	谢谢你邀请我吃饭。
She greeted us with a smile.	她面帶微笑向我們打招呼。
Entering the house, I tripped over the mat.	进家门后，我被垫子绊倒了。
If we knew what we were doing, it wouldn't be called research, would it?	如果我们知道我们在做什么，那么这不能称之为研究，是吗？
The bookcase is level with the table.	书架和桌子齐平。
There's too much salt in this soup.	这汤里盐放多了。
You're an optimist.	你是个乐观主义者。
The box is too heavy to carry.	這個箱子太重了無法攜帶。
Tom was there this morning.	汤姆早上去过那里。
I don't understand what he said.	我不明白他说的话。
I treated her as my own daughter.	我把她當成是我自己的女兒一樣對待。
We haven't finished eating the watermelon yet.	我們還沒吃完這個西瓜。
He did not know what to say.	他不知道说什么好。
Have you heard from him?	你收到他的音訊了嗎?
I'll give you a little tip.	我会给你些提示。
The oranges in this bag are rotten.	這個袋子裡的柳橙都爛了。
There is no point in pretending to be sick.	装病是没用的。
He wrote a book about a jungle adventure.	他写了一本关于丛林冒险的书。
Both you and I are men.	你和我都是男人。
The boy made fun of the girl.	這個男孩取笑了這個女孩。
Second semester has ended.	第二學期結束了。
Maybe you could draw me a picture.	你可以给我画张画。
She cut the apple with a knife.	她用刀子切蘋果。
This house belongs to my uncle.	這棟房子屬於我的叔叔。
That car belongs in a museum.	那辆车属于一家博物馆。
You can borrow my car anytime.	你隨時可以借用我的車。
He is one of my neighbors.	他是我的一個鄰居。
I carried the box on my shoulder.	我把盒子扛在肩上。
Is this snake safe to touch?	摸這條蛇安全嗎?
They told me it was your fault.	他们告诉我这是你的错。
Everybody knows that he is honest.	大家都知道他是誠實的。
I just don't want to lose you.	我只是不想失去你。
I told them to send me another ticket.	我請他們再寄給我一張票。
I saw it in the newspaper.	我在报纸上看到了它。
Tom finally understood it.	汤姆最终明白了。
The teacher pointed her finger at me and asked me to come with her.	教师用手指指着我，要我跟她走。
Have you ever broken your glasses?	你摔坏过你的眼镜吗？
Don't shout at me.	別對著我吼。
News of the recent blast is all over the radio.	收音機廣播充斥著有關最近爆炸的新聞。
Don't you miss anything?	难道你不想念什么吗？
They were not listening to music.	他們沒在聽音樂。
I do not drink coffee.	我不喝咖啡。
Everybody wants to sit beside her.	大家都想坐在她旁边。
You may think those shoes are in fashion, but they aren't.	你可能認為那些鞋子很時髦, 但是他們不是。
He picked flowers for her.	他为她摘了些花。
I can do it in a week.	我可以在一週內做。
You're not satisfied, are you?	你并不满意，对吧？
She weeded the garden.	她给花园除了草。
Afraid of hurting his feelings, I didn't tell him the truth.	怕傷害了他的感情，我沒有告訴他真相。
Tom is a hick.	汤姆是个乡巴佬。
I don't want to miss my train.	我不想错过我的火车。
I want to go to Seattle.	我想去西雅图。
Tom has forgotten how to do that.	汤姆忘了怎么做。
The army forced him to resign.	军队强迫他辞职。
How about going to see a movie tonight?	今晚看电影怎么样？
I need it ASAP.	我尽快需要。
I'm in a bad mood today.	我今天的心情不好。
In the winter, many older people slip on ice and fall down.	在冬天，很多老人在冰上滑倒。
Something might have happened to her.	她可能出什么事了。
Can I see that one?	我能看那個嗎？
There's enough time for a quick snack.	有足夠的時間很快地吃一下點心。
I stayed at home last night.	我昨晚待在家裡。
I don't have the address now.	我沒有現在的地址。
Do you know me?	你还认识我吗？
I remember the first time.	我记得第一次。
I don't think he'll say yes.	我不認為他會說好。
Tom doesn't really love Mary.	汤姆不是真的爱玛丽。
Money talks.	金钱万能。
He hid himself behind the door.	他把自己藏在門後面。
We imported meat from Argentina.	我们从阿根廷进口了肉类。
Christmas is soon.	聖誕節快到了。
I'm in love with her.	我愛上她了。
I ran away in a hurry.	我趕快跑走了。
With the weather getting worse, the departure was put off.	由于天气变差，出发延迟了。
Tom's house has a nice garden.	湯姆的住宅有一個不錯的花園。
I was invited to their wedding.	我被邀請參加他們的婚禮。
I lost.	我迷失了。
I quit smoking two years ago.	我兩年前戒菸了。
Apart from some fruit, he hasn't eaten anything.	除了水果，他什么都没吃。
Why do you need this money?	你為什麼需要這筆錢？
These fireworks are spectacular!	这些焰火真壮观！
He wants more.	他想要更多。
Passengers should board the train now.	乘客应该现在下火车了。
When was this university founded?	这所大学是什么时候建的？
She dived into the swimming pool.	她跳入了游泳池。
You should bring your passport to the bank.	你应该带护照去银行。
I like oranges better than apples.	我喜歡橘子勝過蘋果。
I got a farewell present from everyone.	每個人都送了我一份歡送禮物。
Which tooth hurts?	哪顆牙痛？
Tom didn't have enough money to pay the rent.	汤姆没有足够的钱付租金。
I'm thirsty.	我渴了。
I don't have a prejudice against foreign workers.	我对外籍员工没有偏见。
I see her sweeping the room.	我看见她在打扫房间。
Are you angry?	您生气了吗？
Please pass me the butter.	请把黄油递给我。
I can't do any more than this.	我無法再做下去了。
Let's take the children to the zoo.	讓我們帶孩子們去動物園。
I majored in chemistry at the university.	我在大學主修化學。
He broke the window on purpose.	他故意打破了窗戶。
I always study hard.	我總是用功讀書。
The talks will last three days.	这场谈话将要持续三天。
Please don't tell your parents this.	请不要告诉你父母。
Dog is man's best friend.	狗是人类最好的朋友。
We'll begin work soon.	我們立即開始施工。
In a way you are right, but I still have doubts.	在某种程度上你是对的，但我还是有疑问。
I wrote this book.	我写了这本书。
He told the students to be quiet.	他告訴了學生要安靜。
Didn't you lock up your car?	你没有把你的车上锁吗？
What is the name of this river?	這條河叫什麼名字?
She had died before I arrived.	她在我到達之前去世了。
Take good care of yourself.	照顾好你自己。
My underpants are wet.	我的內褲是濕的。
I don't need you or anybody else.	我不需要你或别的人。
He knows who they are.	他知道他们是谁。
Tom can't afford this.	汤姆买不起这个东西。
Tom didn't want to disappoint Mary.	汤姆不想让玛丽失望。
It was very kind of you to lend me an umbrella.	你借给我伞真好。
He put on the red jacket.	他穿上了紅色的外套。
He offered his help to us.	他想我们提供了帮助。
The moon is the earth's only satellite.	月球是地球唯一的卫星。
April showers bring May flowers.	四月春雨，五月花。
I went to sleep about 10 o'clock.	我在10點左右去睡覺。
I went to a park this morning.	今天早上我去了公园。
What's your name?	您叫什么名字？
Are you afraid of Tom?	你會怕Tom嗎？
We have less than five minutes to evacuate the whole building.	我们有不到五分钟来疏散整栋楼的人。
She has a real knack for getting people to do what she wants.	她真的有本事让别人做她想做的事。
Talking during a concert is rude.	在音樂會中說話是不禮貌的。
